pair,gaze,condition,inter_brain_connections
0,averted,pre,11
0,averted,post,13
0,direct,pre,12
0,direct,post,11
0,natural,pre,11
0,natural,post,8
1,averted,pre,8
1,averted,post,14
1,direct,pre,23
1,direct,post,7
1,natural,pre,24
1,natural,post,14
2,averted,pre,19
2,averted,post,22
2,direct,pre,12
2,direct,post,12
2,natural,pre,16
2,natural,post,6
3,averted,pre,21
3,averted,post,12
3,direct,pre,9
3,direct,post,19
3,natural,pre,16
3,natural,post,8
4,averted,pre,18
4,averted,post,12
4,direct,pre,19
4,direct,post,16
4,natural,pre,7
4,natural,post,20
5,averted,pre,25
5,averted,post,14
5,direct,pre,12
5,direct,post,17
5,natural,pre,0
5,natural,post,0
6,averted,pre,16
6,averted,post,12
6,direct,pre,15
6,direct,post,17
6,natural,pre,14
6,natural,post,14
7,averted,pre,11
7,averted,post,12
7,direct,pre,23
7,direct,post,18
7,natural,pre,16
7,natural,post,14
8,averted,pre,19
8,averted,post,9
8,direct,pre,13
8,direct,post,19
8,natural,pre,15
8,natural,post,13
9,averted,pre,13
9,averted,post,16
9,direct,pre,10
9,direct,post,14
9,natural,pre,15
9,natural,post,11
10,averted,pre,17
10,averted,post,11
10,direct,pre,19
10,direct,post,11
10,natural,pre,14
10,natural,post,11
11,averted,pre,22
11,averted,post,9
11,direct,pre,0
11,direct,post,23
11,natural,pre,10
11,natural,post,14
12,averted,pre,23
12,averted,post,8
12,direct,pre,10
12,direct,post,16
12,natural,pre,15
12,natural,post,21
