pair,gaze,condition,inter_brain_connections
0,averted,pre,18
0,averted,post,13
0,direct,pre,16
0,direct,post,19
0,natural,pre,16
0,natural,post,12
1,averted,pre,10
1,averted,post,15
1,direct,pre,15
1,direct,post,22
1,natural,pre,12
1,natural,post,12
2,averted,pre,9
2,averted,post,20
2,direct,pre,11
2,direct,post,12
2,natural,pre,18
2,natural,post,17
3,averted,pre,12
3,averted,post,19
3,direct,pre,17
3,direct,post,26
3,natural,pre,15
3,natural,post,22
4,averted,pre,16
4,averted,post,15
4,direct,pre,15
4,direct,post,13
4,natural,pre,7
4,natural,post,18
5,averted,pre,15
5,averted,post,14
5,direct,pre,10
5,direct,post,13
5,natural,pre,0
5,natural,post,0
6,averted,pre,13
6,averted,post,14
6,direct,pre,15
6,direct,post,15
6,natural,pre,11
6,natural,post,16
7,averted,pre,24
7,averted,post,16
7,direct,pre,17
7,direct,post,14
7,natural,pre,19
7,natural,post,23
8,averted,pre,16
8,averted,post,7
8,direct,pre,17
8,direct,post,15
8,natural,pre,14
8,natural,post,14
9,averted,pre,6
9,averted,post,16
9,direct,pre,15
9,direct,post,15
9,natural,pre,19
9,natural,post,17
10,averted,pre,10
10,averted,post,20
10,direct,pre,25
10,direct,post,16
10,natural,pre,14
10,natural,post,21
11,averted,pre,13
11,averted,post,14
11,direct,pre,3
11,direct,post,15
11,natural,pre,12
11,natural,post,13
12,averted,pre,19
12,averted,post,15
12,direct,pre,16
12,direct,post,14
12,natural,pre,23
12,natural,post,22
