pair,gaze,condition,inter_brain_connections
0,averted,pre,12
0,averted,post,14
0,direct,pre,15
0,direct,post,18
0,natural,pre,18
0,natural,post,14
1,averted,pre,13
1,averted,post,11
1,direct,pre,20
1,direct,post,15
1,natural,pre,18
1,natural,post,13
2,averted,pre,15
2,averted,post,20
2,direct,pre,20
2,direct,post,4
2,natural,pre,16
2,natural,post,16
3,averted,pre,15
3,averted,post,9
3,direct,pre,18
3,direct,post,15
3,natural,pre,13
3,natural,post,15
4,averted,pre,14
4,averted,post,13
4,direct,pre,19
4,direct,post,13
4,natural,pre,3
4,natural,post,19
5,averted,pre,20
5,averted,post,10
5,direct,pre,14
5,direct,post,17
5,natural,pre,1
5,natural,post,1
6,averted,pre,18
6,averted,post,20
6,direct,pre,13
6,direct,post,20
6,natural,pre,13
6,natural,post,9
7,averted,pre,24
7,averted,post,14
7,direct,pre,12
7,direct,post,14
7,natural,pre,17
7,natural,post,10
8,averted,pre,20
8,averted,post,15
8,direct,pre,11
8,direct,post,8
8,natural,pre,9
8,natural,post,14
9,averted,pre,22
9,averted,post,16
9,direct,pre,16
9,direct,post,13
9,natural,pre,17
9,natural,post,11
10,averted,pre,13
10,averted,post,11
10,direct,pre,24
10,direct,post,6
10,natural,pre,13
10,natural,post,11
11,averted,pre,16
11,averted,post,17
11,direct,pre,1
11,direct,post,14
11,natural,pre,12
11,natural,post,13
12,averted,pre,12
12,averted,post,16
12,direct,pre,11
12,direct,post,18
12,natural,pre,14
12,natural,post,25
