pair,gaze,condition,inter_brain_connections
0,averted,pre,16
0,averted,post,16
0,direct,pre,13
0,direct,post,3
0,natural,pre,10
0,natural,post,15
1,averted,pre,12
1,averted,post,9
1,direct,pre,17
1,direct,post,8
1,natural,pre,11
1,natural,post,11
2,averted,pre,16
2,averted,post,14
2,direct,pre,12
2,direct,post,14
2,natural,pre,17
2,natural,post,20
3,averted,pre,2
3,averted,post,14
3,direct,pre,19
3,direct,post,18
3,natural,pre,13
3,natural,post,17
4,averted,pre,19
4,averted,post,26
4,direct,pre,17
4,direct,post,15
4,natural,pre,10
4,natural,post,13
5,averted,pre,12
5,averted,post,19
5,direct,pre,10
5,direct,post,15
5,natural,pre,1
5,natural,post,5
6,averted,pre,20
6,averted,post,13
6,direct,pre,15
6,direct,post,21
6,natural,pre,16
6,natural,post,11
7,averted,pre,15
7,averted,post,9
7,direct,pre,13
7,direct,post,24
7,natural,pre,13
7,natural,post,21
8,averted,pre,26
8,averted,post,16
8,direct,pre,10
8,direct,post,24
8,natural,pre,15
8,natural,post,8
9,averted,pre,14
9,averted,post,13
9,direct,pre,13
9,direct,post,26
9,natural,pre,9
9,natural,post,13
10,averted,pre,12
10,averted,post,17
10,direct,pre,16
10,direct,post,22
10,natural,pre,18
10,natural,post,11
11,averted,pre,12
11,averted,post,14
11,direct,pre,1
11,direct,post,12
11,natural,pre,26
11,natural,post,24
12,averted,pre,27
12,averted,post,16
12,direct,pre,17
12,direct,post,16
12,natural,pre,14
12,natural,post,21
